file,toolchain,mode,build_cold_s,build_warm_s,size_bytes,run_s,vm_exit,bin_exit,output_match
bench/clang/fib_rec.zz,base,default,5.030,0.066,25976,1.326,0,0,yes
bench/clang/fib_rec.zz,base,p,3.066,0.069,22832,0.021,0,0,yes
bench/clang/fib_rec.zz,new,default,2.160,0.074,168112,1.791,0,0,yes
bench/clang/fib_rec.zz,new,p,2.986,0.069,18680,0.033,0,0,yes
bench/clang/loop_sum.zz,base,default,4.911,0.073,21616,0.014,0,0,yes
bench/clang/loop_sum.zz,base,p,2.079,0.066,18664,0.013,0,0,yes
bench/clang/loop_sum.zz,new,default,1.539,0.072,167760,0.022,0,0,yes
bench/clang/loop_sum.zz,new,p,2.769,0.066,18680,0.014,0,0,yes
bench/clang/str_build.zz,base,default,5.052,0.067,34680,0.013,0,0,yes
bench/clang/str_build.zz,base,p,4.121,0.069,55608,0.014,0,0,yes
bench/clang/str_build.zz,new,default,1.532,0.077,172912,0.014,0,0,yes
bench/clang/str_build.zz,new,p,2.933,0.072,22864,0.014,0,0,yes
bench/clang/float_math.zz,base,default,4.836,0.075,25928,0.019,0,0,yes
bench/clang/float_math.zz,base,p,2.118,0.073,22760,0.018,0,0,yes
bench/clang/float_math.zz,new,default,1.541,0.071,168096,0.019,0,0,yes
bench/clang/float_math.zz,new,p,2.778,0.101,18680,0.019,0,0,yes
bench/clang/array_sum.zz,base,default,4.947,0.062,26216,0.015,0,0,yes
bench/clang/array_sum.zz,base,p,2.247,0.073,22768,0.015,0,0,yes
bench/clang/array_sum.zz,new,default,1.542,0.072,173424,0.013,0,0,yes
bench/clang/array_sum.zz,new,p,2.844,0.071,18688,0.015,0,0,yes
examples/demo.zz,base,default,5.429,0.092,52192,0.020,0,0,NO(exit=0)
examples/demo.zz,base,p,5.086,0.072,67896,0.016,0,0,NO(exit=0)
examples/demo.zz,new,default,1.593,0.079,204112,0.026,0,0,NO(exit=0)
examples/demo.zz,new,p,3.383,0.069,39248,0.014,0,0,NO(exit=0)
examples/math_example.zz,base,default,4.796,0.073,39472,0.013,0,0,NO(exit=0)
examples/math_example.zz,base,p,3.689,0.073,31040,0.013,0,0,NO(exit=0)
examples/math_example.zz,new,default,1.480,0.067,182864,0.015,0,0,NO(exit=0)
examples/math_example.zz,new,p,3.093,0.068,35160,0.012,0,0,NO(exit=0)
examples/str_example.zz,base,default,4.705,0.068,43584,0.015,0,0,yes
examples/str_example.zz,base,p,4.298,0.066,39232,0.014,0,0,yes
examples/str_example.zz,new,default,1.471,0.069,186760,0.013,0,0,yes
examples/str_example.zz,new,p,3.234,0.066,35160,0.014,0,0,yes
examples/arrays.zz,base,default,4.667,0.063,21496,0.013,0,0,yes
examples/arrays.zz,base,p,2.062,0.063,22760,0.013,0,0,yes
examples/arrays.zz,new,default,1.441,0.064,163480,0.013,0,0,yes
examples/arrays.zz,new,p,2.590,0.066,18680,0.013,0,0,yes
examples/structs.zz,base,default,4.667,0.070,21616,0.014,0,0,yes
examples/structs.zz,base,p,1.988,0.061,18672,0.011,0,0,yes
examples/structs.zz,new,default,1.447,0.068,168336,0.014,0,0,yes
examples/structs.zz,new,p,2.577,0.067,18680,0.014,0,0,yes
examples/consts.zz,base,default,4.632,0.062,34808,0.013,0,0,yes
